s3_key,size_bytes,size_GB,layer
marson2025_data/D1_Rest.assigned_guide.h5ad,142828875662,142.829,cell_level
marson2025_data/D1_Stim48hr.assigned_guide.h5ad,156246167022,156.246,cell_level
marson2025_data/D1_Stim8hr.assigned_guide.h5ad,154774003188,154.774,cell_level
marson2025_data/D2_Rest.assigned_guide.h5ad,140574804978,140.575,cell_level
marson2025_data/D2_Stim48hr.assigned_guide.h5ad,137554355000,137.554,cell_level
marson2025_data/D2_Stim8hr.assigned_guide.h5ad,172796432870,172.796,cell_level
marson2025_data/D3_Rest.assigned_guide.h5ad,138149946574,138.15,cell_level
marson2025_data/D3_Stim48hr.assigned_guide.h5ad,137830572362,137.831,cell_level
marson2025_data/D3_Stim8hr.assigned_guide.h5ad,142656069026,142.656,cell_level
marson2025_data/D4_Rest.assigned_guide.h5ad,118609904492,118.61,cell_level
marson2025_data/D4_Stim48hr.assigned_guide.h5ad,159231588926,159.232,cell_level
marson2025_data/D4_Stim8hr.assigned_guide.h5ad,134582395766,134.582,cell_level
marson2025_data/GWCD4i.DE_stats.by_donors.h5mu,16866278447,16.866,differential_expression
marson2025_data/GWCD4i.DE_stats.by_guide.h5mu,29424424894,29.424,differential_expression
marson2025_data/GWCD4i.DE_stats.h5ad,16786240107,16.786,differential_expression
marson2025_data/GWCD4i.pseudobulk_merged.h5ad,44566657140,44.567,pseudobulk
marson2025_data/data_sharing_readme.md,26759,0.0,readme
marson2025_data/metadata/marson_D1_Rest.assigned_guide.jsonld,5781,0.0,metadata_jsonld
marson2025_data/metadata/marson_D1_Stim48hr.assigned_guide.jsonld,5793,0.0,metadata_jsonld
marson2025_data/metadata/marson_D1_Stim8hr.assigned_guide.jsonld,5790,0.0,metadata_jsonld
marson2025_data/metadata/marson_D2_Rest.assigned_guide.jsonld,5781,0.0,metadata_jsonld
marson2025_data/metadata/marson_D2_Stim48hr.assigned_guide.jsonld,5793,0.0,metadata_jsonld
marson2025_data/metadata/marson_D2_Stim8hr.assigned_guide.jsonld,5790,0.0,metadata_jsonld
marson2025_data/metadata/marson_D3_Rest.assigned_guide.jsonld,5781,0.0,metadata_jsonld
marson2025_data/metadata/marson_D3_Stim48hr.assigned_guide.jsonld,5793,0.0,metadata_jsonld
marson2025_data/metadata/marson_D3_Stim8hr.assigned_guide.jsonld,5790,0.0,metadata_jsonld
marson2025_data/metadata/marson_D4_Rest.assigned_guide.jsonld,5781,0.0,metadata_jsonld
marson2025_data/metadata/marson_D4_Stim48hr.assigned_guide.jsonld,5793,0.0,metadata_jsonld
marson2025_data/metadata/marson_D4_Stim8hr.assigned_guide.jsonld,5790,0.0,metadata_jsonld
marson2025_data/suppl_tables/DE_stats.suppl_table.csv,4820370,0.005,differential_expression
marson2025_data/suppl_tables/sample_metadata.suppl_table.csv,2966,0.0,suppl_table
marson2025_data/suppl_tables/sgrna_library_metadata.suppl_table.csv,9935249,0.01,suppl_table
