rank,gene,ensg,best_condition,composite_score,n_directions,directions,s_effect,s_repro,s_biology,s_context,s_network,s_genetics,s_drug,therapeutic_direction,novelty,eff_ontarget,out_degree,module_name,n_downstream,pol_shift,ctx_class,has_genetic_support,n_immune_disease_assoc,dis_max_neglog10_p,disease_categories,sm_tractable,ab_tractable,best_sm_bucket,has_clinical_drug,n_known_drugs,known_drug_moa,novel_druggable,protein_class,biotype
1,LAT,ENSG00000213658,Stim8hr,0.9248,4.0,cytokine+polarization+context+network,0.645,0.797,0.727,1.0,0.996,0.0,1.0,suppress-inflammation,novel-druggable,17.262825348106805,5445,TCR-proximal signaling,5535,→Effector,activation-induced,False,0.0,,,False,True,,False,0.0,,True,SINGLE PROTEIN,protein_coding
2,SMARCE1,ENSG00000073584,Stim8hr,0.909,3.0,cytokine+polarization+network,0.572,0.783,0.727,0.157,0.932,1.0,1.0,suppress-inflammation,novel-druggable,12.563390533960316,3267,,3266,→Th2; →Effector,constitutive,True,37.0,67.52287874528034,asthma-allergy(32); T1D(3); IBD(2),True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
3,PLCG1,ENSG00000124181,Stim8hr,0.9084,4.0,cytokine+polarization+context+network,0.612,0.754,0.727,0.999,0.986,0.0,1.0,suppress-inflammation,novel-druggable,14.101124295570235,5013,TCR-proximal signaling,5032,→Effector,activation-induced,False,0.0,,,True,True,High-Quality Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
4,CD247,ENSG00000198821,Stim8hr,0.905,3.0,cytokine+context+network,0.584,0.67,0.727,0.998,0.968,0.494,1.0,suppress-inflammation,novel-druggable,11.933472010237974,4330,TCR-proximal signaling,4329,→Th1; →Effector,activation-induced,True,46.0,24.69897000433602,asthma-allergy(35); other-autoimmune(9); RA(2),True,True,Structure with Ligand,False,0.0,,True,(inferred:protein_coding),protein_coding
5,STAT6,ENSG00000166888,Stim48hr,0.8846,3.0,cytokine+polarization+context,0.51,0.538,0.675,0.996,0.798,0.77,1.0,boost-immunity,novel-druggable,13.180099597182386,1128,,1127,→Th1,late-activation,True,55.0,38.52287874528034,asthma-allergy(55),True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
6,CD3E,ENSG00000198851,Stim8hr,0.8812,3.0,cytokine+context+network,0.652,0.852,0.909,1.0,1.0,0.146,0.7,suppress-inflammation,known-drug-target,17.891807119280895,5601,TCR-proximal signaling,5710,→Effector,activation-induced,True,3.0,7.301029995663981,IBD(3),True,True,Structure with Ligand,True,22.0,T-cell surface glycoprotein CD3 epsilon chain binding agent [BINDING AGENT]; T-cell surface glycoprotein CD3 epsilon chain other [OTHER]; T-cell surface glycoprotein CD3 epsilon chain inhibitor [INHIBITOR]; T-cell surface glycoprotein CD3 epsilon chain cross-linking agent [CROSS-LINKING AGENT],False,SINGLE PROTEIN,protein_coding
7,ZAP70,ENSG00000115085,Stim8hr,0.8357,3.0,cytokine+polarization+network,0.595,0.849,0.556,0.968,0.986,0.154,1.0,suppress-inflammation,novel-druggable,12.174402170204049,4993,TCR-proximal signaling,5021,→Effector,constitutive,True,1.0,7.698970004336019,other-autoimmune(1),True,True,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
8,IL4R,ENSG00000077238,Stim48hr,0.8316,3.0,cytokine+polarization+context,0.444,0.435,0.904,0.999,0.743,0.674,0.7,boost-immunity,known-drug-target,8.646176007212214,729,,728,→Th1,late-activation,True,48.0,33.69897000433602,asthma-allergy(42); IBD(3); other-autoimmune(2); psoriasis(1),False,True,,True,2.0,Interleukin-4 receptor subunit alpha antagonist [ANTAGONIST],False,SINGLE PROTEIN,protein_coding
9,VAV1,ENSG00000141968,Stim8hr,0.8302,2.0,cytokine+network,0.619,0.776,1.0,0.972,0.982,0.0,1.0,suppress-inflammation,novel-druggable,15.097187610756944,4873,TCR-proximal signaling,4897,,constitutive,True,0.0,,,True,True,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
10,TMX1,ENSG00000139921,Stim8hr,0.8005,3.0,cytokine+context+network,0.648,0.588,0.636,1.0,0.89,0.103,1.0,suppress-inflammation,novel-druggable,23.881790020529383,2347,TCR-proximal signaling,2346,→Treg,activation-induced,True,1.0,5.154901959985743,SLE(1),False,True,,False,0.0,,True,SINGLE PROTEIN,protein_coding
11,CD2,ENSG00000116824,Stim48hr,0.7897,3.0,cytokine+polarization+context,0.736,0.517,0.727,0.993,0.782,0.282,0.7,suppress-inflammation,known-drug-target,40.504026954392685,989,,988,,activation-induced,True,2.0,14.096910013008056,other-autoimmune(2),False,True,,True,2.0,T-cell surface antigen CD2 inhibitor [INHIBITOR],False,SINGLE PROTEIN,protein_coding
