gene,ensg,n_directions,in_cytokine,in_polarization,in_context,in_network
ACLY,ENSG00000131473,2,True,False,False,True
ADAM19,ENSG00000135074,2,True,True,False,False
AEBP2,ENSG00000139154,2,True,False,True,False
AHR,ENSG00000106546,2,True,False,False,True
AKR1C3,ENSG00000196139,2,True,True,False,False
ALG1,ENSG00000033011,2,False,True,True,False
ALKBH2,ENSG00000189046,2,True,False,True,False
ANP32B,ENSG00000136938,2,True,False,True,False
AP2A1,ENSG00000196961,2,True,False,True,False
APC,ENSG00000134982,2,True,True,False,False
ARID4B,ENSG00000054267,2,True,False,True,False
ARNT,ENSG00000143437,3,True,True,False,True
ARPC1B,ENSG00000130429,2,True,False,True,False
ATAD3A,ENSG00000197785,2,True,False,True,False
ATAD5,ENSG00000176208,2,True,False,False,True
ATF7IP2,ENSG00000166669,2,False,False,True,True
ATG14,ENSG00000126775,2,True,False,True,False
ATP2A2,ENSG00000174437,3,True,True,False,True
ATP5F1A,ENSG00000152234,2,True,True,False,False
ATXN7L3,ENSG00000087152,2,True,False,False,True
BAP1,ENSG00000163930,2,True,False,True,False
BATF,ENSG00000156127,2,True,True,False,False
BCL10,ENSG00000142867,3,True,False,True,True
BHLHE40,ENSG00000134107,3,True,True,False,True
BRPF1,ENSG00000156983,2,True,False,False,True
BTAF1,ENSG00000095564,2,True,False,False,True
C18orf32,ENSG00000177576,2,True,True,False,False
CAMK1,ENSG00000134072,2,True,False,True,False
CARMIL2,ENSG00000159753,3,True,False,True,True
CARS2,ENSG00000134905,2,True,False,True,False
CBFB,ENSG00000067955,2,True,True,False,False
CBLB,ENSG00000114423,2,True,False,True,False
CCDC12,ENSG00000160799,2,True,False,True,False
CCDC134,ENSG00000100147,2,True,False,True,False
CCDC22,ENSG00000101997,2,True,True,False,False
CCNC,ENSG00000112237,3,True,True,False,True
CCNT1,ENSG00000129315,2,True,False,True,False
CD2,ENSG00000116824,3,True,True,True,False
CD247,ENSG00000198821,3,True,False,True,True
CD28,ENSG00000178562,3,True,False,True,True
CD3E,ENSG00000198851,3,True,False,True,True
CD3G,ENSG00000160654,2,True,False,True,False
CDC25B,ENSG00000101224,2,True,True,False,False
CEP135,ENSG00000174799,2,True,False,True,False
CHD4,ENSG00000111642,3,True,True,False,True
CLCC1,ENSG00000121940,3,True,False,True,True
CLPB,ENSG00000162129,2,True,False,True,False
COASY,ENSG00000068120,2,True,False,True,False
COG6,ENSG00000133103,2,True,False,True,False
COMMD5,ENSG00000170619,2,True,False,True,False
COMMD7,ENSG00000149600,2,True,False,True,False
COX19,ENSG00000240230,2,True,False,True,False
COX6C,ENSG00000164919,2,True,False,False,True
CPSF6,ENSG00000111605,3,True,True,False,True
CREBBP,ENSG00000005339,2,True,False,False,True
CROT,ENSG00000005469,2,True,True,False,False
CSDE1,ENSG00000009307,2,True,False,False,True
CTPS1,ENSG00000171793,2,True,False,True,False
CXXC1,ENSG00000154832,2,True,True,False,False
CYB5R4,ENSG00000065615,3,True,True,False,True
CYCS,ENSG00000172115,2,True,False,True,False
DCK,ENSG00000156136,2,True,False,True,False
DDX39B,ENSG00000198563,2,False,True,True,False
DENR,ENSG00000139726,2,True,False,False,True
DHX30,ENSG00000132153,2,True,False,True,False
DHX36,ENSG00000174953,2,True,False,False,True
DIS3L,ENSG00000166938,2,True,False,True,False
DLAT,ENSG00000150768,2,True,False,True,False
DNAAF2,ENSG00000165506,2,True,False,True,False
DNTTIP1,ENSG00000101457,2,True,False,False,True
DOHH,ENSG00000129932,2,True,False,False,True
DOLPP1,ENSG00000167130,2,True,False,False,True
DOP1B,ENSG00000142197,2,True,False,False,True
DPH5,ENSG00000117543,2,True,True,False,False
E2F4,ENSG00000205250,2,False,True,True,False
ECSIT,ENSG00000130159,2,True,False,True,False
EFR3A,ENSG00000132294,2,True,False,False,True
EGR2,ENSG00000122877,2,True,False,True,False
EIF4G1,ENSG00000114867,3,True,True,False,True
EIF4G2,ENSG00000110321,2,True,False,False,True
ELAVL1,ENSG00000066044,2,True,False,False,True
ELOB,ENSG00000103363,3,True,True,False,True
EMC2,ENSG00000104412,3,True,True,True,False
ENO1,ENSG00000074800,2,True,False,True,False
EPB41L3,ENSG00000082397,2,True,False,True,False
FAM204A,ENSG00000165669,2,True,False,True,False
FANCL,ENSG00000115392,2,True,False,True,False
FBXO32,ENSG00000156804,2,True,True,False,False
FLCN,ENSG00000154803,2,True,False,True,False
FNBP4,ENSG00000109920,2,True,True,False,False
FZD6,ENSG00000164930,2,True,False,True,False
GAB2,ENSG00000033327,2,True,False,True,False
GABPB1,ENSG00000104064,2,True,False,False,True
GATA3,ENSG00000107485,2,True,True,False,False
GET1,ENSG00000182093,2,True,False,True,False
GJC1,ENSG00000182963,2,True,False,True,False
GNE,ENSG00000159921,2,True,False,True,False
GNG5,ENSG00000174021,2,True,False,True,False
GNPAT,ENSG00000116906,3,True,True,True,False
GNPNAT1,ENSG00000100522,2,True,False,True,False
GOLT1B,ENSG00000111711,2,True,False,True,False
GPI,ENSG00000105220,2,True,False,False,True
GPT2,ENSG00000166123,2,True,False,True,False
GRSF1,ENSG00000132463,2,False,False,True,True
GSS,ENSG00000100983,2,True,True,False,False
GTF2H5,ENSG00000272047,2,True,False,True,False
GTF3C5,ENSG00000148308,2,True,False,True,False
GTF3C6,ENSG00000155115,3,True,True,True,False
HCCS,ENSG00000004961,2,True,True,False,False
HEATR3,ENSG00000155393,2,True,False,True,False
HEXIM1,ENSG00000186834,3,True,True,True,False
HMBS,ENSG00000256269,2,True,False,True,False
HMGXB3,ENSG00000113716,2,True,False,True,False
HNRNPM,ENSG00000099783,2,False,True,True,False
IBA57,ENSG00000181873,2,True,True,False,False
IFNGR1,ENSG00000027697,2,False,True,True,False
IL2RA,ENSG00000134460,2,True,True,False,False
IL2RB,ENSG00000100385,3,True,True,True,False
IL4R,ENSG00000077238,3,True,True,True,False
IL7R,ENSG00000168685,2,True,False,True,False
IMPDH2,ENSG00000178035,2,True,True,False,False
INO80B,ENSG00000115274,2,True,True,False,False
INPP5D,ENSG00000168918,3,True,True,True,False
INTS10,ENSG00000104613,2,True,False,False,True
INTS14,ENSG00000138614,2,True,True,False,False
INTS15,ENSG00000146576,2,True,False,True,False
IRF2BP1,ENSG00000170604,2,True,True,False,False
IRF8,ENSG00000140968,2,True,False,True,False
IST1,ENSG00000182149,2,True,True,False,False
ITK,ENSG00000113263,3,True,False,True,True
JUNB,ENSG00000171223,2,True,True,False,False
KDM1A,ENSG00000004487,3,True,True,False,True
KDM8,ENSG00000155666,2,True,False,True,False
KMT2E,ENSG00000005483,2,True,True,False,False
KTN1,ENSG00000126777,2,True,False,True,False
LAT,ENSG00000213658,4,True,True,True,True
LBH,ENSG00000213626,2,True,False,True,False
LCK,ENSG00000182866,2,True,False,False,True
LEO1,ENSG00000166477,3,True,True,False,True
LETM2,ENSG00000165046,2,True,False,True,False
LIG3,ENSG00000005156,2,True,False,True,False
LIN7C,ENSG00000148943,2,True,True,False,False
LMTK2,ENSG00000164715,2,True,True,False,False
LRPPRC,ENSG00000138095,2,True,False,False,True
MAEA,ENSG00000090316,3,True,True,False,True
MALT1,ENSG00000172175,3,True,False,True,True
MAX,ENSG00000125952,2,True,False,False,True
ME3,ENSG00000151376,2,True,False,True,False
MED1,ENSG00000125686,2,True,False,True,False
MED12,ENSG00000184634,3,True,True,False,True
MED15,ENSG00000099917,2,True,False,False,True
MED24,ENSG00000008838,3,True,True,False,True
MEN1,ENSG00000133895,3,True,True,False,True
MEST,ENSG00000106484,2,True,False,True,False
METTL1,ENSG00000037897,2,True,True,False,False
MFSD6,ENSG00000151690,2,True,False,True,False
MIA2,ENSG00000150527,2,True,False,False,True
MIPEP,ENSG00000027001,2,True,False,False,True
MMGT1,ENSG00000169446,2,True,False,True,False
MPG,ENSG00000103152,2,True,False,True,False
MPI,ENSG00000178802,2,True,False,False,True
MTA2,ENSG00000149480,3,True,True,False,True
MTCH2,ENSG00000109919,2,True,False,True,False
MTG1,ENSG00000148824,3,True,False,True,True
MTPAP,ENSG00000107951,2,True,False,True,False
MTX2,ENSG00000128654,2,False,True,True,False
MYC,ENSG00000136997,2,True,False,True,False
N6AMT1,ENSG00000156239,2,True,False,True,False
NAA30,ENSG00000139977,2,True,False,False,True
NAB2,ENSG00000166886,2,False,True,True,False
NAF1,ENSG00000145414,2,True,False,True,False
NCAPG2,ENSG00000146918,2,True,False,False,True
NCKAP1L,ENSG00000123338,2,True,False,False,True
NDFIP2,ENSG00000102471,2,True,False,True,False
NDRG1,ENSG00000104419,2,True,False,True,False
NDUFA9,ENSG00000139180,2,True,False,True,False
NDUFAF3,ENSG00000178057,3,True,False,True,True
NFKB1,ENSG00000109320,2,True,True,False,False
NFKB2,ENSG00000077150,2,True,True,False,False
NFRKB,ENSG00000170322,2,True,False,False,True
NRBP1,ENSG00000115216,2,True,True,False,False
NSD1,ENSG00000165671,3,True,True,False,True
NXT1,ENSG00000132661,2,True,False,True,False
ORAI1,ENSG00000276045,2,True,False,True,False
OXA1L,ENSG00000155463,2,True,False,False,True
PARP2,ENSG00000129484,2,True,False,True,False
PCGF1,ENSG00000115289,2,True,True,False,False
PDCL,ENSG00000136940,3,True,True,False,True
PDHA1,ENSG00000131828,2,True,False,True,False
PDSS2,ENSG00000164494,2,True,False,False,True
PGAP2,ENSG00000148985,2,True,False,True,False
PGGT1B,ENSG00000164219,3,True,False,True,True
PHIP,ENSG00000146247,2,True,False,True,False
PITRM1,ENSG00000107959,2,True,False,True,False
PKM,ENSG00000067225,2,True,False,False,True
PLCG1,ENSG00000124181,4,True,True,True,True
PMVK,ENSG00000163344,2,True,False,False,True
POLG,ENSG00000140521,3,True,True,False,True
POLRMT,ENSG00000099821,2,True,False,True,False
PPCDC,ENSG00000138621,2,True,False,True,False
PPCS,ENSG00000127125,2,True,True,False,False
PPP1R14B,ENSG00000173457,2,True,False,True,False
PPP3R1,ENSG00000221823,2,True,False,True,False
PPP4C,ENSG00000149923,2,True,True,False,False
PRKAR1A,ENSG00000108946,2,True,True,False,False
PTEN,ENSG00000171862,2,True,False,False,True
PTPN2,ENSG00000175354,2,True,True,False,False
PTPRC,ENSG00000081237,2,True,False,False,True
QRSL1,ENSG00000130348,2,True,False,True,False
RAB11FIP1,ENSG00000156675,2,True,False,True,False
RAP2A,ENSG00000125249,2,True,False,True,False
RB1CC1,ENSG00000023287,2,True,False,True,False
RBCK1,ENSG00000125826,2,True,False,True,False
RBFA,ENSG00000101546,2,True,False,True,False
RFT1,ENSG00000163933,2,True,False,True,False
RICTOR,ENSG00000164327,2,True,True,False,False
RNASEH2A,ENSG00000104889,2,True,False,True,False
RNF20,ENSG00000155827,3,True,True,True,False
RNFT2,ENSG00000135119,2,True,False,True,False
RPRD2,ENSG00000163125,2,True,False,False,True
RTRAF,ENSG00000087302,2,True,False,False,True
SCAF4,ENSG00000156304,2,True,True,False,False
SEC14L1,ENSG00000129657,2,True,False,True,False
SEC23A,ENSG00000100934,2,True,True,False,False
SEL1L,ENSG00000071537,3,True,True,False,True
SENP5,ENSG00000119231,4,True,True,True,True
SGF29,ENSG00000176476,3,True,True,False,True
SIK3,ENSG00000160584,3,True,True,False,True
SIN3B,ENSG00000127511,2,True,False,False,True
SKIC8,ENSG00000140395,3,True,True,False,True
SLC35B1,ENSG00000121073,2,True,False,False,True
SMARCA5,ENSG00000153147,2,True,False,False,True
SMARCB1,ENSG00000099956,3,True,True,False,True
SMARCE1,ENSG00000073584,3,True,True,False,True
SMG1,ENSG00000157106,2,True,False,False,True
SMG7,ENSG00000116698,2,True,False,False,True
SMG9,ENSG00000105771,2,True,True,False,False
SMPD1,ENSG00000166311,2,False,True,True,False
SND1,ENSG00000197157,2,True,False,True,False
SPAG7,ENSG00000091640,2,True,False,True,False
SRP9,ENSG00000143742,2,True,False,True,False
STAT3,ENSG00000168610,2,True,False,False,True
STAT5A,ENSG00000126561,2,True,False,True,False
STAT5B,ENSG00000173757,2,True,True,False,False
STAT6,ENSG00000166888,3,True,True,True,False
STIP1,ENSG00000168439,2,True,False,False,True
STK11,ENSG00000118046,2,True,True,False,False
STRAP,ENSG00000023734,2,True,False,False,True
SUPT20H,ENSG00000102710,3,True,True,False,True
TADA1,ENSG00000152382,3,True,True,False,True
TADA2B,ENSG00000173011,3,True,False,True,True
TAF13,ENSG00000197780,2,True,False,False,True
TAF6L,ENSG00000162227,3,True,True,False,True
TBX21,ENSG00000073861,2,True,True,False,False
TFAM,ENSG00000108064,2,True,False,False,True
TFAP4,ENSG00000090447,2,True,True,False,False
TFB1M,ENSG00000029639,2,True,False,True,False
TFG,ENSG00000114354,2,True,False,True,False
THAP11,ENSG00000168286,2,True,False,False,True
TIMM10,ENSG00000134809,2,True,False,True,False
TIMP1,ENSG00000102265,2,True,False,True,False
TMED9,ENSG00000184840,2,True,False,False,True
TMEM234,ENSG00000160055,2,True,False,True,False
TMX1,ENSG00000139921,3,True,False,True,True
TNPO1,ENSG00000083312,3,True,True,False,True
TNRC6A,ENSG00000090905,2,True,False,False,True
TOMM70,ENSG00000154174,3,True,True,True,False
TOR1A,ENSG00000136827,2,True,True,False,False
TPST2,ENSG00000128294,2,True,False,True,False
TRAF3,ENSG00000131323,2,True,False,False,True
TRAF6,ENSG00000175104,2,True,False,True,False
TRIP12,ENSG00000153827,3,True,False,True,True
TSC1,ENSG00000165699,2,True,False,False,True
UBE2F,ENSG00000184182,2,True,False,True,False
UBE2L3,ENSG00000185651,2,True,False,False,True
UBXN1,ENSG00000162191,3,True,False,True,True
UFL1,ENSG00000014123,2,True,True,False,False
UFM1,ENSG00000120686,2,True,False,False,True
UQCRC2,ENSG00000140740,2,True,False,True,False
USP22,ENSG00000124422,2,True,False,False,True
USP7,ENSG00000187555,2,True,False,False,True
UTP23,ENSG00000147679,2,True,False,True,False
VAV1,ENSG00000141968,2,True,False,False,True
VBP1,ENSG00000155959,2,True,False,True,False
VPS45,ENSG00000136631,3,True,True,True,False
VPS8,ENSG00000156931,2,True,False,True,False
WAC,ENSG00000095787,3,True,True,False,True
WAPL,ENSG00000062650,2,True,False,True,False
WAS,ENSG00000015285,2,True,True,False,False
WDR24,ENSG00000127580,2,False,True,True,False
WDR59,ENSG00000103091,2,True,True,False,False
WDR82,ENSG00000164091,2,True,False,False,True
XIAP,ENSG00000101966,2,True,False,True,False
YTHDF2,ENSG00000198492,2,True,False,False,True
ZAP70,ENSG00000115085,3,True,True,False,True
ZBTB14,ENSG00000198081,2,True,False,True,False
ZC3H10,ENSG00000135482,2,True,False,True,False
ZMYM2,ENSG00000121741,2,False,True,True,False
ZNF613,ENSG00000176024,2,False,False,True,True
ZNF622,ENSG00000173545,2,True,False,True,False
ZNF649,ENSG00000198093,2,True,False,True,False
