gene,ensg,n_directions,in_cytokine,in_polarization,in_context,in_network
ABCA3,ENSG00000167972,1,False,False,True,False
ABCC1,ENSG00000103222,1,True,False,False,False
ABHD12,ENSG00000100997,1,True,False,False,False
ABHD13,ENSG00000139826,1,False,False,True,False
ABHD6,ENSG00000163686,1,True,False,False,False
ACACA,ENSG00000278540,1,False,False,True,False
ACAD9,ENSG00000177646,1,False,False,True,False
ACLY,ENSG00000131473,2,True,False,False,True
ACSL1,ENSG00000151726,1,False,False,True,False
ACSL6,ENSG00000164398,1,True,False,False,False
ACTR2,ENSG00000138071,1,True,False,False,False
ACTR8,ENSG00000113812,1,True,False,False,False
ACYP2,ENSG00000170634,1,False,False,True,False
ADAM19,ENSG00000135074,2,True,True,False,False
ADAMTS10,ENSG00000142303,1,True,False,False,False
ADHFE1,ENSG00000147576,1,False,False,True,False
ADNP2,ENSG00000101544,1,True,False,False,False
ADRB2,ENSG00000169252,1,True,False,False,False
AEBP2,ENSG00000139154,2,True,False,True,False
AHCYL1,ENSG00000168710,1,True,False,False,False
AHR,ENSG00000106546,2,True,False,False,True
AIFM1,ENSG00000156709,1,True,False,False,False
AK3,ENSG00000147853,1,False,False,True,False
AKR1C3,ENSG00000196139,2,True,True,False,False
ALAD,ENSG00000148218,1,True,False,False,False
ALAS1,ENSG00000023330,1,False,False,True,False
ALG1,ENSG00000033011,2,False,True,True,False
ALG13,ENSG00000101901,1,True,False,False,False
ALG3,ENSG00000214160,1,False,False,True,False
ALG8,ENSG00000159063,1,True,False,False,False
ALKBH2,ENSG00000189046,2,True,False,True,False
AMBRA1,ENSG00000110497,1,False,False,True,False
ANP32B,ENSG00000136938,2,True,False,True,False
ANXA6,ENSG00000197043,1,False,False,True,False
AP1S2,ENSG00000182287,1,True,False,False,False
AP2A1,ENSG00000196961,2,True,False,True,False
APBB1,ENSG00000166313,1,True,False,False,False
APBB1IP,ENSG00000077420,1,True,False,False,False
APC,ENSG00000134982,2,True,True,False,False
APOL6,ENSG00000221963,1,False,True,False,False
ARF1,ENSG00000143761,1,False,False,False,True
ARF4,ENSG00000168374,1,False,False,True,False
ARHGAP30,ENSG00000186517,1,False,False,False,True
ARID1A,ENSG00000117713,1,True,False,False,False
ARID4B,ENSG00000054267,2,True,False,True,False
ARID5A,ENSG00000196843,1,False,True,False,False
ARIH1,ENSG00000166233,1,True,False,False,False
ARL1,ENSG00000120805,1,False,False,True,False
ARL6IP1,ENSG00000170540,1,False,False,True,False
ARMC8,ENSG00000114098,1,True,False,False,False
ARMCX3,ENSG00000102401,1,False,True,False,False
ARNT,ENSG00000143437,3,True,True,False,True
ARPC1B,ENSG00000130429,2,True,False,True,False
ARPC2,ENSG00000163466,1,True,False,False,False
ARPC3,ENSG00000111229,1,True,False,False,False
ATAD3A,ENSG00000197785,2,True,False,True,False
ATAD5,ENSG00000176208,2,True,False,False,True
ATF4,ENSG00000128272,1,True,False,False,False
ATF7IP,ENSG00000171681,1,False,False,True,False
ATF7IP2,ENSG00000166669,2,False,False,True,True
ATG14,ENSG00000126775,2,True,False,True,False
ATIC,ENSG00000138363,1,True,False,False,False
ATL2,ENSG00000119787,1,True,False,False,False
ATP1B3,ENSG00000069849,1,True,False,False,False
ATP2A2,ENSG00000174437,3,True,True,False,True
ATP2A3,ENSG00000074370,1,False,False,True,False
