gene,target_ensg,condition,n_downstream_Rest,n_downstream_Stim8hr,n_downstream_Stim48hr,n_total_de_Rest,n_total_de_Stim8hr,n_total_de_Stim48hr,n_sig_markers_Rest,n_sig_markers_Stim8hr,n_sig_markers_Stim48hr,stim_max_downstream,class,context_specificity_score,present_conditions,prog_zscore_at_op,top_sig_marker_at_op,therapeutic_direction
CD3E,ENSG00000198851,Stim8hr,0,5710,1585,0,5711,1586,0,36,14,5710,activation-induced,0.9998,"Stim8hr,Stim48hr",-4.753,IL2RA-,inhibit; activation-specific
LAT,ENSG00000213658,Stim8hr,0,5535,0,0,5536,0,0,33,0,5535,activation-induced,0.9998,Stim8hr,-4.61,STAT1+,inhibit; activation-specific
SENP5,ENSG00000119231,Stim8hr,0,5171,0,0,5172,0,0,17,0,5171,activation-induced,0.9998,Stim8hr,0.687,STAT4+,inhibit; activation-specific
BCL10,ENSG00000142867,Stim8hr,0,3455,0,0,3456,0,0,21,0,3455,activation-induced,0.9997,Stim8hr,-1.289,MYC-,inhibit; activation-specific
UBXN1,ENSG00000162191,Stim8hr,0,3443,0,0,3444,0,0,19,0,3443,activation-induced,0.9997,Stim8hr,-1.814,IL4R-,inhibit; activation-specific
ATF7IP2,ENSG00000166669,Stim8hr,0,2730,0,0,2731,0,0,8,0,2730,activation-induced,0.9996,Stim8hr,-2.635,IKZF2+,inhibit; activation-specific
CARMIL2,ENSG00000159753,Stim8hr,0,2544,0,0,2545,0,0,24,0,2544,activation-induced,0.9996,Stim8hr,-3.323,MYC-,inhibit; activation-specific
TMX1,ENSG00000139921,Stim8hr,0,2346,1959,0,2347,1960,0,24,18,2346,activation-induced,0.9996,"Stim8hr,Stim48hr",-3.973,STAT1+,inhibit; activation-specific
TRIP12,ENSG00000153827,Stim8hr,0,1829,0,0,1830,0,0,8,0,1829,activation-induced,0.9995,Stim8hr,-2.141,IL13-,inhibit; activation-specific
CLCC1,ENSG00000121940,Stim48hr,0,679,1731,0,680,1732,0,8,11,1731,activation-induced,0.9994,"Stim8hr,Stim48hr",-0.5,IKZF2+,inhibit; activation-specific
MALT1,ENSG00000172175,Stim8hr,0,1639,1411,0,1640,1412,0,15,17,1639,activation-induced,0.9994,"Stim8hr,Stim48hr",-2.545,HAVCR2+,inhibit; activation-specific
ZNF613,ENSG00000176024,Stim8hr,0,1620,0,0,1621,0,0,4,0,1620,activation-induced,0.9994,Stim8hr,-2.933,CCL5+,inhibit; activation-specific
FZD6,ENSG00000164930,Stim8hr,0,1394,0,0,1395,0,0,12,0,1394,activation-induced,0.9993,Stim8hr,-3.106,STAT1+,inhibit; activation-specific
SINHCAF,ENSG00000139146,Stim8hr,0,1210,410,0,1211,411,0,4,0,1210,activation-induced,0.9992,"Stim8hr,Stim48hr",,,inhibit; activation-specific
ITK,ENSG00000113263,Stim8hr,1,3392,2565,2,3393,2566,0,25,21,3392,activation-induced,0.9991,"Rest,Stim8hr,Stim48hr",-2.274,STAT1+,inhibit; activation-specific
COG6,ENSG00000133103,Stim8hr,0,1161,671,0,1162,672,0,11,5,1161,activation-induced,0.9991,"Stim8hr,Stim48hr",0.053,CD69+,inhibit; activation-specific
TIMM10,ENSG00000134809,Stim8hr,0,1055,124,0,1056,125,0,7,1,1055,activation-induced,0.9991,"Stim8hr,Stim48hr",1.593,GATA3-,inhibit; activation-specific
PLCG1,ENSG00000124181,Stim8hr,2,5032,2217,3,5033,2218,0,33,22,5032,activation-induced,0.999,"Rest,Stim8hr,Stim48hr",-4.538,STAT1+,inhibit; activation-specific
HMBS,ENSG00000256269,Stim8hr,0,1046,723,0,1047,724,0,9,6,1046,activation-induced,0.999,"Stim8hr,Stim48hr",2.325,RORC+,inhibit; activation-specific
NFKBIL1,ENSG00000204498,Stim8hr,0,953,32,0,954,33,0,1,0,953,activation-induced,0.999,"Stim8hr,Stim48hr",3.017,CTLA4+,inhibit; activation-specific
RNF20,ENSG00000155827,Stim48hr,0,627,934,0,628,935,0,15,17,934,activation-induced,0.9989,"Stim8hr,Stim48hr",-2.583,IL13-,inhibit; activation-specific
RB1CC1,ENSG00000023287,Stim8hr,0,901,580,0,902,581,0,11,5,901,activation-induced,0.9989,"Stim8hr,Stim48hr",1.032,TIGIT+,inhibit; activation-specific
WAPL,ENSG00000062650,Stim8hr,0,875,105,0,876,106,0,9,2,875,activation-induced,0.9989,"Stim8hr,Stim48hr",-3.613,LTA-,inhibit; activation-specific
EGR2,ENSG00000122877,Stim8hr,0,854,253,0,855,254,0,7,4,854,activation-induced,0.9988,"Stim8hr,Stim48hr",-2.354,LTA-,inhibit; activation-specific
