gene,condition,cytokine,zscore,effect_direction,therapeutic_direction,adj_p,cytokine_class,target_ensg,perturbation_id
ABCA3,Stim48hr,IL2,-3.153,down,suppress-inflammation,0.095,effector,ENSG00000167972,ENSG00000167972_Stim48hr
ABCC1,Rest,IL21,3.946,up,boost-immunity,0.021,effector,ENSG00000103222,ENSG00000103222_Rest
ABCC1,Rest,IL4,4.569,up,boost-immunity,0.002,effector,ENSG00000103222,ENSG00000103222_Rest
ABCC1,Stim48hr,IL3,-3.676,down,suppress-inflammation,0.084,effector,ENSG00000103222,ENSG00000103222_Stim48hr
ABHD12,Rest,IFNG,3.147,up,boost-immunity,0.046,effector,ENSG00000100997,ENSG00000100997_Rest
ABHD12,Rest,IL2RA,2.796,up,boost-immunity,0.078,effector,ENSG00000100997,ENSG00000100997_Rest
ABHD5,Rest,IL22,5.093,up,boost-immunity,0.001,effector,ENSG00000011198,ENSG00000011198_Rest
ABHD6,Rest,IL2,5.869,up,boost-immunity,0.0,effector,ENSG00000163686,ENSG00000163686_Rest
ABHD6,Rest,IL3,5.348,up,boost-immunity,0.0,effector,ENSG00000163686,ENSG00000163686_Rest
ACAD9,Stim48hr,IL3,-5.31,down,suppress-inflammation,0.0,effector,ENSG00000177646,ENSG00000177646_Stim48hr
ACAP1,Stim8hr,IFNG,4.859,up,boost-immunity,0.005,effector,ENSG00000072818,ENSG00000072818_Stim8hr
ACLY,Stim48hr,CSF2,-2.637,down,suppress-inflammation,0.047,effector,ENSG00000131473,ENSG00000131473_Stim48hr
ACLY,Stim48hr,IFNG,-3.122,down,suppress-inflammation,0.014,effector,ENSG00000131473,ENSG00000131473_Stim48hr
ACLY,Stim48hr,IL10,-3.42,down,boost-immunity,0.006,suppressive,ENSG00000131473,ENSG00000131473_Stim48hr
ACLY,Stim48hr,IL2,3.182,up,boost-immunity,0.012,effector,ENSG00000131473,ENSG00000131473_Stim48hr
ACLY,Stim48hr,IL2RA,-5.359,down,suppress-inflammation,0.0,effector,ENSG00000131473,ENSG00000131473_Stim48hr
ACLY,Stim48hr,IL5,-2.838,down,suppress-inflammation,0.029,effector,ENSG00000131473,ENSG00000131473_Stim48hr
ACLY,Stim8hr,IL10,-2.895,down,boost-immunity,0.043,suppressive,ENSG00000131473,ENSG00000131473_Stim8hr
ACP6,Stim48hr,IL21,-4.312,down,suppress-inflammation,0.041,effector,ENSG00000162836,ENSG00000162836_Stim48hr
ACSL6,Rest,IFNG,2.82,up,boost-immunity,0.094,effector,ENSG00000164398,ENSG00000164398_Rest
ACSL6,Rest,LTA,4.974,up,boost-immunity,0.002,effector,ENSG00000164398,ENSG00000164398_Rest
ACTR2,Stim48hr,CTLA4,-3.786,down,boost-immunity,0.005,suppressive,ENSG00000138071,ENSG00000138071_Stim48hr
ACTR2,Stim8hr,IL2RA,-3.562,down,suppress-inflammation,0.015,effector,ENSG00000138071,ENSG00000138071_Stim8hr
ACTR2,Stim8hr,IL5,-2.923,down,suppress-inflammation,0.064,effector,ENSG00000138071,ENSG00000138071_Stim8hr
ACTR5,Rest,IL10,3.137,up,suppress-inflammation,0.066,suppressive,ENSG00000101442,ENSG00000101442_Rest
ACTR8,Rest,IL2RA,-4.013,down,suppress-inflammation,0.004,effector,ENSG00000113812,ENSG00000113812_Rest
ACTR8,Stim48hr,CTLA4,-3.623,down,boost-immunity,0.014,suppressive,ENSG00000113812,ENSG00000113812_Stim48hr
ACTR8,Stim48hr,IL13,-2.765,down,suppress-inflammation,0.085,effector,ENSG00000113812,ENSG00000113812_Stim48hr
ACTR8,Stim48hr,IL4,-3.247,down,suppress-inflammation,0.034,effector,ENSG00000113812,ENSG00000113812_Stim48hr
ACTR8,Stim48hr,TNF,3.402,up,boost-immunity,0.023,effector,ENSG00000113812,ENSG00000113812_Stim48hr
ACTR8,Stim8hr,CTLA4,-2.928,down,boost-immunity,0.05,suppressive,ENSG00000113812,ENSG00000113812_Stim8hr
ACTR8,Stim8hr,IL10,-3.498,down,boost-immunity,0.013,suppressive,ENSG00000113812,ENSG00000113812_Stim8hr
ACTR8,Stim8hr,IL13,-5.508,down,suppress-inflammation,0.0,effector,ENSG00000113812,ENSG00000113812_Stim8hr
ACTR8,Stim8hr,IL5,-3.179,down,suppress-inflammation,0.029,effector,ENSG00000113812,ENSG00000113812_Stim8hr
ACYP2,Stim48hr,IFNG,3.854,up,boost-immunity,0.019,effector,ENSG00000170634,ENSG00000170634_Stim48hr
ADAM19,Rest,IL22,4.337,up,boost-immunity,0.003,effector,ENSG00000135074,ENSG00000135074_Rest
ADAM19,Stim48hr,IFNG,3.522,up,boost-immunity,0.027,effector,ENSG00000135074,ENSG00000135074_Stim48hr
ADAM19,Stim48hr,IL23R,7.38,up,boost-immunity,0.0,effector,ENSG00000135074,ENSG00000135074_Stim48hr
ADAM19,Stim48hr,IL4,-3.008,down,suppress-inflammation,0.076,effector,ENSG00000135074,ENSG00000135074_Stim48hr
ADAM19,Stim8hr,IL10,-2.984,down,boost-immunity,0.079,suppressive,ENSG00000135074,ENSG00000135074_Stim8hr
ADAM19,Stim8hr,IL23R,4.029,up,boost-immunity,0.007,effector,ENSG00000135074,ENSG00000135074_Stim8hr
ADAM19,Stim8hr,IL4,-3.133,down,suppress-inflammation,0.059,effector,ENSG00000135074,ENSG00000135074_Stim8hr
ADAMTS10,Rest,IL2,10.272,up,boost-immunity,0.0,effector,ENSG00000142303,ENSG00000142303_Rest
ADAMTS10,Rest,IL3,8.411,up,boost-immunity,0.0,effector,ENSG00000142303,ENSG00000142303_Rest
ADHFE1,Stim48hr,IL3,-3.559,down,suppress-inflammation,0.038,effector,ENSG00000147576,ENSG00000147576_Stim48hr
ADNP,Stim8hr,IFNG,3.695,up,boost-immunity,0.064,effector,ENSG00000101126,ENSG00000101126_Stim8hr
ADNP2,Stim48hr,IFNG,3.574,up,boost-immunity,0.053,effector,ENSG00000101544,ENSG00000101544_Stim48hr
ADNP2,Stim48hr,IL4,4.163,up,boost-immunity,0.01,effector,ENSG00000101544,ENSG00000101544_Stim48hr
ADORA2A,Stim8hr,IFNG,4.934,up,boost-immunity,0.003,effector,ENSG00000128271,ENSG00000128271_Stim8hr
ADRB2,Rest,CSF2,5.437,up,boost-immunity,0.0,effector,ENSG00000169252,ENSG00000169252_Rest
ADRB2,Rest,IFNG,6.15,up,boost-immunity,0.0,effector,ENSG00000169252,ENSG00000169252_Rest
ADRB2,Rest,IL2,4.856,up,boost-immunity,0.002,effector,ENSG00000169252,ENSG00000169252_Rest
AEBP2,Stim48hr,CSF2,-3.181,down,suppress-inflammation,0.05,effector,ENSG00000139154,ENSG00000139154_Stim48hr
AEBP2,Stim48hr,IL13,-3.441,down,suppress-inflammation,0.028,effector,ENSG00000139154,ENSG00000139154_Stim48hr
AEBP2,Stim48hr,IL5,-2.807,down,suppress-inflammation,0.098,effector,ENSG00000139154,ENSG00000139154_Stim48hr
AGRN,Stim8hr,IL22,-4.189,down,suppress-inflammation,0.018,effector,ENSG00000188157,ENSG00000188157_Stim8hr
AHCYL1,Stim8hr,IL21,4.381,up,boost-immunity,0.036,effector,ENSG00000168710,ENSG00000168710_Stim8hr
AHCYL1,Stim8hr,IL22,-4.539,down,suppress-inflammation,0.035,effector,ENSG00000168710,ENSG00000168710_Stim8hr
AHR,Rest,CTLA4,3.605,up,suppress-inflammation,0.004,suppressive,ENSG00000106546,ENSG00000106546_Rest
AHR,Rest,IFNG,3.47,up,boost-immunity,0.006,effector,ENSG00000106546,ENSG00000106546_Rest
AHR,Rest,IL13,2.803,up,boost-immunity,0.031,effector,ENSG00000106546,ENSG00000106546_Rest
AHR,Rest,IL21,2.845,up,boost-immunity,0.028,effector,ENSG00000106546,ENSG00000106546_Rest
AHR,Rest,IL2RA,5.099,up,boost-immunity,0.0,effector,ENSG00000106546,ENSG00000106546_Rest
AHR,Rest,IL4,2.389,up,boost-immunity,0.072,effector,ENSG00000106546,ENSG00000106546_Rest
AHR,Rest,IL5,2.462,up,boost-immunity,0.062,effector,ENSG00000106546,ENSG00000106546_Rest
AHR,Rest,LTA,4.607,up,boost-immunity,0.0,effector,ENSG00000106546,ENSG00000106546_Rest
AHR,Stim48hr,IL22,-4.048,down,suppress-inflammation,0.002,effector,ENSG00000106546,ENSG00000106546_Stim48hr
AHR,Stim48hr,LTA,2.45,up,boost-immunity,0.091,effector,ENSG00000106546,ENSG00000106546_Stim48hr
AHR,Stim8hr,IFNG,3.299,up,boost-immunity,0.014,effector,ENSG00000106546,ENSG00000106546_Stim8hr
AHR,Stim8hr,IL10,-2.882,down,boost-immunity,0.037,suppressive,ENSG00000106546,ENSG00000106546_Stim8hr
AHR,Stim8hr,IL2,3.981,up,boost-immunity,0.002,effector,ENSG00000106546,ENSG00000106546_Stim8hr
AHR,Stim8hr,IL21,2.975,up,boost-immunity,0.03,effector,ENSG00000106546,ENSG00000106546_Stim8hr
AHR,Stim8hr,IL22,-2.8,down,suppress-inflammation,0.045,effector,ENSG00000106546,ENSG00000106546_Stim8hr
AHR,Stim8hr,IL3,3.132,up,boost-immunity,0.021,effector,ENSG00000106546,ENSG00000106546_Stim8hr
AHR,Stim8hr,LTA,2.519,up,boost-immunity,0.078,effector,ENSG00000106546,ENSG00000106546_Stim8hr
