rank,gene,condition,n_suppress_effector,suppress_sum_absz,suppress_max_absz,suppress_cytokines,n_boost,boost_sum_absz,boost_max_absz,boost_cytokines
1.0,VAV1,Stim8hr,12,45.606,8.054,"CSF2,IFNG,IL13,IL2,IL21,IL22,IL2RA,IL3,IL4,IL5,LTA,TNF",1,3.23,3.23,CTLA4
2.0,CD3E,Stim8hr,11,55.394,16.514,"CSF2,IFNG,IL13,IL2,IL21,IL2RA,IL3,IL4,IL5,LTA,TNF",2,8.506,5.106,"CTLA4,IL10"
3.0,PGK1,Stim8hr,10,47.411,7.703,"CSF2,IFNG,IL13,IL2,IL22,IL2RA,IL4,IL5,LTA,TNF",1,2.867,2.867,IL10
4.0,VAV1,Stim48hr,10,42.1,7.307,"CSF2,IFNG,IL13,IL2,IL21,IL2RA,IL3,IL4,IL5,LTA",2,6.7,4.296,"CTLA4,IL10"
5.0,PKM,Stim8hr,10,38.784,5.337,"CSF2,IFNG,IL13,IL22,IL2RA,IL3,IL4,IL5,LTA,TNF",2,5.628,3.106,"CTLA4,IL10"
6.0,LAT,Stim8hr,9,44.524,14.611,"CSF2,IFNG,IL13,IL2,IL2RA,IL3,IL4,LTA,TNF",2,9.417,4.973,"CTLA4,IL10"
7.0,SMARCE1,Stim8hr,9,41.682,8.181,"CSF2,IFNG,IL13,IL2,IL22,IL2RA,IL3,IL4,LTA",1,2.936,2.936,CTLA4
8.0,PLCG1,Stim8hr,9,41.488,12.319,"CSF2,IFNG,IL2,IL2RA,IL3,IL4,IL5,LTA,TNF",2,5.9719999999999995,3.852,"CTLA4,IL10"
9.0,CD247,Stim8hr,9,35.533,8.36,"CSF2,IFNG,IL13,IL2,IL2RA,IL3,IL4,IL5,LTA",0,,,
10.0,MPI,Stim8hr,9,34.335,8.475,"IFNG,IL13,IL21,IL22,IL2RA,IL3,IL4,IL5,LTA",1,2.568,2.568,IL10
11.0,BATF,Stim48hr,9,33.375,6.115,"CSF2,IFNG,IL13,IL2,IL2RA,IL3,IL5,LTA,TNF",1,5.223,5.223,CTLA4
12.0,SIK3,Stim48hr,9,32.827,5.984,"IFNG,IL2,IL21,IL22,IL3,IL4,IL5,LTA,TNF",2,5.541,2.777,"IL10,IL2RA"
13.0,DHX36,Stim48hr,9,31.177000000000003,5.341,"CSF2,IFNG,IL13,IL22,IL2RA,IL3,IL4,IL5,LTA",0,,,
14.0,SLC35B1,Stim8hr,9,30.961000000000002,4.598,"CSF2,IL13,IL2,IL22,IL2RA,IL3,IL4,LTA,TNF",1,3.434,3.434,IL10
15.0,IL2RB,Stim8hr,8,36.029,8.537,"CSF2,IFNG,IL13,IL2,IL22,IL2RA,IL3,IL5",2,8.515,4.843,"CTLA4,IL10"
16.0,CD3G,Stim48hr,8,34.996,9.389,"CSF2,IFNG,IL13,IL2RA,IL3,IL4,IL5,LTA",1,4.824,4.824,CTLA4
17.0,CXXC1,Stim48hr,8,32.628,5.531,"CSF2,IFNG,IL13,IL2RA,IL3,IL4,LTA,TNF",0,,,
18.0,UBR4,Stim48hr,8,29.707,4.587,"CSF2,IFNG,IL13,IL2,IL2RA,IL3,IL5,LTA",1,4.082,4.082,CTLA4
19.0,CD247,Stim48hr,8,28.706999999999997,6.375,"CSF2,IFNG,IL13,IL2,IL21,IL2RA,IL4,LTA",1,4.554,4.554,CTLA4
20.0,PMVK,Stim48hr,8,27.729,7.802,"CSF2,IFNG,IL13,IL22,IL2RA,IL4,LTA,TNF",2,6.277,3.343,"CTLA4,IL10"
21.0,CARMIL2,Stim8hr,8,27.683999999999997,4.894,"IL2,IL22,IL2RA,IL3,IL4,IL5,LTA,TNF",1,2.713,2.713,CTLA4
22.0,CD2,Stim48hr,8,24.464,3.727,"CSF2,IFNG,IL2,IL21,IL22,IL23R,LTA,TNF",0,,,
23.0,IL2RB,Stim48hr,7,43.177,16.994,"CSF2,IL13,IL2RA,IL3,IL4,IL5,TNF",1,6.643,6.643,CTLA4
24.0,STAT5B,Stim48hr,7,41.663000000000004,9.534,"CSF2,IFNG,IL13,IL2RA,IL3,IL4,LTA",1,4.321,4.321,CTLA4
25.0,ZAP70,Stim8hr,7,41.637,15.093,"CSF2,IFNG,IL2,IL21,IL2RA,IL3,IL4",2,7.6530000000000005,4.477,"CTLA4,IL10"
26.0,GATA3,Stim48hr,7,36.631,11.273,"CSF2,IFNG,IL13,IL2RA,IL3,IL4,IL5",2,11.23,7.608,"CTLA4,IL10"
27.0,NSD1,Stim48hr,7,31.733,8.181,"CSF2,IL21,IL22,IL2RA,IL3,LTA,TNF",2,10.23,6.384,"CTLA4,IL10"
28.0,BHLHE40,Stim48hr,7,31.128,8.908,"CSF2,IL13,IL21,IL22,IL3,IL4,IL5",1,3.857,3.857,IL23R
29.0,RFT1,Stim8hr,7,29.939999999999998,5.688,"CSF2,IFNG,IL22,IL2RA,IL3,LTA,TNF",1,3.252,3.252,IL10
30.0,RBCK1,Stim48hr,7,26.822000000000003,6.126,"CSF2,IFNG,IL13,IL2,IL22,LTA,TNF",0,,,
31.0,TBX21,Stim8hr,7,26.811000000000003,5.458,"CSF2,IFNG,IL2,IL22,IL3,LTA,TNF",0,,,
32.0,PGS1,Stim8hr,7,25.979000000000003,4.605,"CSF2,IFNG,IL2,IL22,IL3,IL4,LTA",0,,,
33.0,DOLPP1,Stim8hr,7,25.446999999999996,6.122,"IFNG,IL13,IL2RA,IL3,IL4,LTA,TNF",0,,,
34.0,SUPT20H,Stim48hr,7,25.148999999999997,4.935,"IL2,IL21,IL2RA,IL3,IL4,IL5,TNF",1,6.271,6.271,CTLA4
