gene,ensg,n_directions,biotype,protein_class,sm_tractable,ab_tractable,best_sm_bucket,has_clinical_drug,n_known_drugs,known_drug_moa,novel_druggable,n_assoc_diseases,chembl_pref_name,chembl_target_id
LAT,ENSG00000213658,4,protein_coding,SINGLE PROTEIN,False,True,,False,0,,True,1182,Linker for activation of T-cells family member 1,CHEMBL5779
PLCG1,ENSG00000124181,4,protein_coding,SINGLE PROTEIN,True,True,High-Quality Ligand,False,0,,True,429,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1",CHEMBL3964
ARNT,ENSG00000143437,3,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,412,Aryl hydrocarbon receptor nuclear translocator,CHEMBL5618
CARMIL2,ENSG00000159753,3,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,212,,
CCNC,ENSG00000112237,3,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,181,Cyclin-C,CHEMBL2401607
CD247,ENSG00000198821,3,protein_coding,(inferred:protein_coding),True,True,Structure with Ligand,False,0,,True,739,,
CHD4,ENSG00000111642,3,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,932,Chromodomain-helicase-DNA-binding protein 4,CHEMBL4105742
CLCC1,ENSG00000121940,3,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,1364,,
CPSF6,ENSG00000111605,3,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,191,Cleavage and polyadenylation specificity factor subunit 6,CHEMBL6067065
CYB5R4,ENSG00000065615,3,protein_coding,(inferred:protein_coding),True,False,Structure with Ligand,False,0,,True,142,,
EIF4G1,ENSG00000114867,3,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,348,Eukaryotic translation initiation factor 4 gamma 1,CHEMBL1741197
ELOB,ENSG00000103363,3,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,83,Elongin-B,CHEMBL3259468
EMC2,ENSG00000104412,3,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,97,ER membrane protein complex subunit 2,CHEMBL6066426
GNPAT,ENSG00000116906,3,protein_coding,SINGLE PROTEIN,False,True,,False,0,,True,1635,Dihydroxyacetone phosphate acyltransferase,CHEMBL4494
HEXIM1,ENSG00000186834,3,protein_coding,SINGLE PROTEIN,True,False,Med-Quality Pocket,False,0,,True,515,Protein HEXIM1,CHEMBL3120044
MAEA,ENSG00000090316,3,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,239,,
