gene,ensg,condition,Th1_score,Th2_score,Th17_score,Treg_score,Tfh_score,Th1_vs_Th2,Effector_vs_Treg,z_Th1_vs_Th2,z_Effector_vs_Treg,max_abs_z,primary_axis,shift_label,therapeutic_direction,n_sig_program_markers,ontarget_effect_size,n_downstream
STK11,ENSG00000118046,Rest,0.2856,-0.0111,0.8628,3.4762,0.5481,0.2967,-3.0972,0.4034,-7.6947,7.6947,Effector_vs_Treg,→Treg,suppress-inflammation,10,-7.9175,1085
PRKAR1A,ENSG00000108946,Rest,-0.3797,0.2252,0.3971,2.9428,1.09,-0.6049,-2.8619,-0.8283,-7.1071,7.1071,Effector_vs_Treg,→Treg,suppress-inflammation,8,-6.6218,1064
IL4R,ENSG00000077238,Stim48hr,0.759,-3.9906,1.449,-0.562,0.7556,4.7496,-0.0322,6.9572,0.0166,6.9572,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),12,-8.6462,728
ATP2A2,ENSG00000174437,Rest,3.9582,-0.7719,2.1333,1.3472,5.223,4.7301,0.426,6.46,1.1047,6.46,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),19,-10.0573,3518
GATA3,ENSG00000107485,Stim8hr,-0.2749,-5.3221,0.1596,-2.0743,-0.6357,5.0472,0.2619,6.3969,0.5279,6.3969,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),13,-19.9951,1238
STAT6,ENSG00000166888,Stim8hr,1.55,-3.4605,-0.5694,-0.1304,1.0261,5.0105,-0.6962,6.3489,-1.2585,6.3489,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),5,-18.7444,232
TBX21,ENSG00000073861,Stim8hr,-4.3986,0.0108,-0.7235,-0.1139,-0.3051,-4.4093,-1.5899,-5.9554,-2.9248,5.9554,Th1_vs_Th2,→Th2; →Treg,suppress-inflammation,11,-15.8505,307
MED12,ENSG00000184634,Stim8hr,2.7113,-1.8244,1.3102,-1.964,-0.403,4.5357,2.6964,5.7287,5.0672,5.7287,Th1_vs_Th2,→Th1; →Effector,boost-immunity,20,-8.7888,4141
CBFB,ENSG00000067955,Stim48hr,0.4334,1.0332,0.843,-2.3874,1.7907,-0.5998,3.1573,-0.9667,5.5467,5.5467,Effector_vs_Treg,→Effector,boost-immunity,11,-9.8985,1132
SUPT20H,ENSG00000102710,Stim8hr,2.3149,-2.0646,0.3915,-1.5368,-1.7111,4.3795,1.7507,5.5247,3.3039,5.5247,Th1_vs_Th2,→Th1; →Effector,boost-immunity,16,-18.6035,3947
PTPN2,ENSG00000175354,Rest,2.6509,-1.3889,-0.0541,0.9929,-0.0559,4.0398,-0.5903,5.5169,-1.4335,5.5169,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),7,-7.2713,413
ATP2A2,ENSG00000174437,Stim48hr,1.9579,-1.6869,3.5471,0.3102,3.6566,3.6448,0.9625,5.3206,1.7412,5.3206,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),16,-10.1418,1565
STAT6,ENSG00000166888,Stim48hr,1.7922,-1.7649,0.9198,-0.1848,1.3134,3.5571,0.5005,5.1908,0.9402,5.1908,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),12,-13.1801,1127
EIF4G1,ENSG00000114867,Stim8hr,2.3209,-1.74,0.3608,0.5557,1.276,4.0609,-0.2418,5.1085,-0.4112,5.1085,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),14,-10.1162,1678
MTA2,ENSG00000149480,Stim8hr,3.1618,-0.8185,0.1834,1.8264,2.5286,3.9803,-0.9842,5.0032,-1.7955,5.0032,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),14,-14.9353,1728
GATA3,ENSG00000107485,Rest,0.4207,-3.2082,0.0399,-1.5172,0.2881,3.6289,0.6013,4.9557,1.5426,4.9557,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),7,-16.1967,887
SIK3,ENSG00000160584,Rest,0.2682,-0.8829,0.1552,1.8427,-0.0264,1.1511,-1.9958,1.5707,-4.9439,4.9439,Effector_vs_Treg,→Treg,suppress-inflammation,4,-8.3811,456
