gene,condition,perturbation_id,out_degree,n_up_downstream,n_down_downstream,hub_rank,module_id,module_name,therapeutic_direction
CD3E,Stim8hr,ENSG00000198851_Stim8hr,5601,3778,1823,1,81,TCR-proximal signaling,network-hub
LAT,Stim8hr,ENSG00000213658_Stim8hr,5445,3689,1756,2,81,TCR-proximal signaling,network-hub
TADA2B,Stim48hr,ENSG00000173011_Stim48hr,5217,3600,1617,3,86,SAGA/Mediator coactivator,network-hub
SENP5,Stim8hr,ENSG00000119231_Stim8hr,5172,3363,1809,4,86,SAGA/Mediator coactivator,network-hub
PLCG1,Stim8hr,ENSG00000124181_Stim8hr,5013,3328,1685,5,81,TCR-proximal signaling,network-hub
ZAP70,Stim8hr,ENSG00000115085_Stim8hr,4993,3304,1689,6,81,TCR-proximal signaling,network-hub
VAV1,Stim8hr,ENSG00000141968_Stim8hr,4873,3288,1585,7,81,TCR-proximal signaling,network-hub
SGF29,Stim48hr,ENSG00000176476_Stim48hr,4869,3242,1627,8,86,SAGA/Mediator coactivator,network-hub
TAF6L,Stim8hr,ENSG00000162227_Stim8hr,4639,3299,1340,9,86,SAGA/Mediator coactivator,network-hub
CD247,Stim8hr,ENSG00000198821_Stim8hr,4330,2971,1359,10,81,TCR-proximal signaling,network-hub
MED12,Stim8hr,ENSG00000184634_Stim8hr,4142,2523,1619,11,86,SAGA/Mediator coactivator,network-hub
CCNC,Stim48hr,ENSG00000112237_Stim48hr,4091,2454,1637,12,79,,network-hub
SGF29,Stim8hr,ENSG00000176476_Stim8hr,4048,2863,1185,13,86,SAGA/Mediator coactivator,network-hub
SUPT20H,Stim8hr,ENSG00000102710_Stim8hr,3948,2723,1225,14,86,SAGA/Mediator coactivator,network-hub
ATAD5,Rest,ENSG00000176208_Rest,3791,2105,1686,15,85,DNA replication/repair,network-hub
TADA1,Stim8hr,ENSG00000152382_Stim8hr,3649,2656,993,16,86,SAGA/Mediator coactivator,network-hub
DENR,Stim8hr,ENSG00000139726_Stim8hr,3637,2568,1069,17,71,,network-hub
ATAD5,Stim8hr,ENSG00000176208_Stim8hr,3597,2379,1218,18,85,DNA replication/repair,network-hub
VAV1,Stim48hr,ENSG00000141968_Stim48hr,3575,1911,1664,19,81,TCR-proximal signaling,network-hub
PMVK,Stim48hr,ENSG00000163344_Stim48hr,3528,1902,1626,20,81,TCR-proximal signaling,network-hub
ATP2A2,Rest,ENSG00000174437_Rest,3519,2361,1158,21,82,,network-hub
