gene,cond,n_kd,mean_kd_lognorm,mean_ntc_lognorm,delta_lognorm,rel_knockdown,frac_expr_kd,frac_expr_ntc,mwu_p_less
LAT,Rest,82,0.2528,1.4576,-1.2048,0.8662,0.207,0.895,3.3776418200125002e-34
PLCG1,Rest,118,0.1068,1.5465,-1.4397,0.9403,0.085,0.918,0.0
CD247,Rest,94,0.279,1.34,-1.061,0.828,0.223,0.879,2.4885382547510834e-33
CD3E,Rest,84,0.3469,1.987,-1.6401,0.8513,0.226,0.972,5.764941882232297e-42
ZAP70,Rest,12,0.3659,1.6013,-1.2354,0.8289,0.25,0.923,2.335083991056308e-06
VAV1,Rest,71,0.1065,0.7257,-0.6192,0.8438,0.099,0.637,1.5260598210964664e-16
SMARCE1,Rest,13,0.0,0.7354,-0.7354,1.0,0.0,0.654,1.5137862646952271e-05
LAT,Stim8hr,76,0.2666,1.3931,-1.1265,0.856,0.224,0.872,6.864777471536572e-29
PLCG1,Stim8hr,110,0.0939,0.6751,-0.5812,0.8822,0.1,0.63,4.206233562339665e-24
CD247,Stim8hr,90,0.1002,1.0186,-0.9184,0.9366,0.133,0.776,2.3869816039827842e-32
CD3E,Stim8hr,91,0.2016,1.6858,-1.4842,0.9185,0.176,0.934,0.0
ZAP70,Stim8hr,17,0.1146,1.3845,-1.2699,0.912,0.059,0.873,9.161579939132025e-09
VAV1,Stim8hr,106,0.095,0.4906,-0.3956,0.8346,0.123,0.526,1.5390850173033102e-15
SMARCE1,Stim8hr,12,0.2318,0.8096,-0.5777,0.7567,0.25,0.734,0.0006237913039512932
