gene,n_kd,c0_shift,c1_shift,c2_shift,c3_shift,c4_shift,c5_shift,c6_shift,c7_shift,c8_shift,c9_shift,c10_shift,c11_shift,c12_shift
LAT,76,-0.0649,-0.0692,-0.0315,-0.0684,-0.0855,-0.0198,-0.041,-0.0435,-0.0408,-0.0751,-0.0861,0.4778,0.1482
PLCG1,110,-0.0912,-0.0692,-0.0205,-0.0593,-0.0664,-0.0016,-0.0542,-0.0426,-0.0439,-0.1136,-0.1124,0.2029,0.4721
CD247,90,-0.0468,-0.0692,-0.062,0.0094,-0.0896,-0.0198,-0.0431,-0.0032,0.1197,-0.0964,-0.1124,0.2898,0.1237
CD3E,91,-0.0912,-0.0472,0.0037,-0.0574,-0.1009,-0.0198,-0.0542,-0.0698,0.0076,-0.1189,-0.1124,0.2746,0.3859
ZAP70,17,-0.0912,-0.0692,-0.0254,-0.0684,-0.053,-0.0198,-0.0542,-0.0698,0.0373,-0.1409,-0.1124,0.6767,-0.0097
VAV1,106,-0.0346,-0.0503,-0.0087,-0.0495,-0.0552,-0.001,-0.0259,-0.0698,0.0612,-0.0654,-0.0747,0.3742,-0.0002
SMARCE1,12,-0.0912,-0.0692,0.0825,-0.0684,-0.0285,-0.0198,-0.0542,0.0968,0.003,-0.0575,-0.0291,0.2453,-0.0097
SGF29,289,0.0333,-0.0415,-0.0357,0.0735,0.0577,-0.0094,-0.0265,0.0132,-0.0111,-0.0163,-0.0605,0.0262,-0.0028
MED24,200,0.0738,-0.0642,-0.0142,-0.0234,0.0381,-0.0098,-0.0342,0.0002,0.0197,-0.0209,0.0076,0.027,0.0003
MED12,65,-0.0759,-0.0538,0.0081,-0.0068,-0.0503,-0.0198,-0.0542,0.0225,-0.0034,-0.064,-0.0509,0.3274,0.0211
TADA2B,547,0.0952,-0.0491,0.0438,0.1218,-0.0497,-0.0089,-0.0359,0.0143,0.0129,-0.0805,-0.1033,0.0399,-0.0005
NSD1,114,-0.0649,-0.0604,0.0123,-0.0421,-0.0154,-0.0023,-0.0016,-0.0347,0.0776,0.0521,0.0279,0.0611,-0.0097
CHD4,70,-0.0341,0.0165,-0.0127,0.0173,0.0024,-0.0198,0.0172,-0.0413,-0.0232,-0.1123,0.0876,0.0977,0.0046
SMARCB1,34,-0.0618,0.0191,0.0041,0.0199,-0.053,-0.0198,-0.0542,-0.011,0.0373,0.1238,0.0346,-0.0292,-0.0097
STAT6,149,0.0228,-0.0356,-0.0171,-0.0415,0.0358,-0.0131,-0.0206,0.0443,0.0137,-0.0201,0.0352,0.0059,-0.0097
TRIP12,183,-0.0694,-0.02,-0.0131,-0.0356,0.0466,0.002,-0.0433,0.0231,-0.0311,0.0176,0.1717,-0.0388,-0.0097
ARNT,336,0.007,0.0975,-0.0038,0.1013,-0.094,0.0129,-0.0066,0.1087,-0.0565,-0.1111,-0.0053,-0.0434,-0.0067
SEL1L,41,0.0307,-0.0204,0.0134,-0.0684,0.0345,0.029,-0.0054,-0.021,-0.0315,0.1274,-0.0637,-0.0149,-0.0097
SIK3,159,-0.0221,-0.0377,-0.0339,-0.0055,-0.0049,0.0179,0.0339,-0.0384,0.0392,-0.0654,0.1077,0.0189,-0.0097
