cluster,n_ctrl,prog_naive_memory,prog_effector,prog_activation,prog_treg,prog_cytokine,prog_exhaustion
0,6842,-0.1697,0.7036,0.2604,0.2801,0.2767,-0.0877
1,3858,-0.1251,1.2068,0.3127,0.1534,0.6467,-0.0797
2,7123,-0.1039,0.5429,0.5302,0.1979,0.2237,-0.1331
3,5649,-0.154,0.3304,0.1609,0.0786,0.1469,-0.1897
4,6036,0.0782,0.3522,0.3302,0.3559,-0.0287,-0.1166
5,1980,-0.1455,0.5498,0.3392,0.2287,0.4998,0.002
6,5391,-0.1094,0.9005,0.5193,0.127,0.7315,-0.116
7,7069,-0.0782,0.7773,0.3078,0.1599,0.7258,-0.137
8,6117,0.0093,0.2262,0.4767,0.1925,0.0051,-0.1888
9,12211,0.069,0.2279,0.2919,0.2489,-0.0628,-0.1814
10,10109,0.0502,0.9025,0.4483,0.2572,0.6003,-0.0932
11,7459,-0.0029,0.6255,0.2635,0.4087,0.2148,0.0841
12,156,-0.2004,1.4028,-0.0825,0.2834,-0.0671,0.2999
