gene,axis,occupancy_redistribution
ZAP70,flagship,0.714
PLCG1,flagship,0.6749499999999999
CD3E,flagship,0.6718
LAT,flagship,0.6258999999999999
CD247,flagship,0.54255
VAV1,flagship,0.43535
SMARCE1,flagship,0.42760000000000004
MED12,novel,0.37910000000000005
TADA2B,novel,0.32789999999999997
ARNT,novel,0.3274
TRIP12,novel,0.261
CHD4,novel,0.24335
SMARCB1,novel,0.23875000000000002
SEL1L,novel,0.23500000000000001
NSD1,novel,0.23104999999999998
SIK3,novel,0.2176
SGF29,novel,0.20385
MED24,novel,0.1667
STAT6,novel,0.1577
