donor,gene,leiden,n_kd,kd_frac,ntc_frac,shift
D1,LAT,0,65,0.01538,0.175,-0.15962
D1,LAT,1,65,0.0,0.10075,-0.10075
D1,LAT,2,65,0.01538,0.10958,-0.0942
D1,LAT,3,65,0.07692,0.06492,0.01201
D1,LAT,4,65,0.03077,0.0595,-0.02873
D1,LAT,5,65,0.01538,0.16375,-0.14837
D1,LAT,6,65,0.61538,0.004,0.61138
D1,LAT,7,65,0.01538,0.02025,-0.00487
D1,LAT,8,65,0.0,0.005,-0.005
D1,LAT,9,65,0.0,0.02425,-0.02425
D1,LAT,10,65,0.01538,0.17708,-0.1617
D1,LAT,11,65,0.0,0.08417,-0.08417
D1,LAT,12,65,0.2,0.00092,0.19908
D1,LAT,13,65,0.0,0.01058,-0.01058
D1,LAT,14,65,0.0,0.00025,-0.00025
D1,PLCG1,0,154,0.01948,0.175,-0.15552
D1,PLCG1,1,154,0.03247,0.10075,-0.06828
D1,PLCG1,2,154,0.0,0.10958,-0.10958
D1,PLCG1,3,154,0.06494,0.06492,2e-05
D1,PLCG1,4,154,0.01948,0.0595,-0.04002
D1,PLCG1,5,154,0.01299,0.16375,-0.15076
D1,PLCG1,6,154,0.69481,0.004,0.69081
D1,PLCG1,7,154,0.00649,0.02025,-0.01376
D1,PLCG1,8,154,0.0,0.005,-0.005
D1,PLCG1,9,154,0.00649,0.02425,-0.01776
D1,PLCG1,10,154,0.03247,0.17708,-0.14462
D1,PLCG1,11,154,0.00649,0.08417,-0.07767
D1,PLCG1,12,154,0.1039,0.00092,0.10298
D1,PLCG1,13,154,0.0,0.01058,-0.01058
D1,PLCG1,14,154,0.0,0.00025,-0.00025
D1,CD247,0,107,0.07477,0.175,-0.10023
D1,CD247,1,107,0.06542,0.10075,-0.03533
D1,CD247,2,107,0.01869,0.10958,-0.09089
D1,CD247,3,107,0.04673,0.06492,-0.01819
D1,CD247,4,107,0.02804,0.0595,-0.03146
D1,CD247,5,107,0.07477,0.16375,-0.08898
D1,CD247,6,107,0.40187,0.004,0.39787
D1,CD247,7,107,0.0,0.02025,-0.02025
D1,CD247,8,107,0.0,0.005,-0.005
D1,CD247,9,107,0.00935,0.02425,-0.0149
D1,CD247,10,107,0.1215,0.17708,-0.05559
D1,CD247,11,107,0.05607,0.08417,-0.02809
D1,CD247,12,107,0.09346,0.00092,0.09254
D1,CD247,13,107,0.00935,0.01058,-0.00124
D1,CD247,14,107,0.0,0.00025,-0.00025
D1,CD3E,0,108,0.0,0.175,-0.175
D1,CD3E,1,108,0.0,0.10075,-0.10075
D1,CD3E,2,108,0.0,0.10958,-0.10958
D1,CD3E,3,108,0.03704,0.06492,-0.02788
D1,CD3E,4,108,0.0,0.0595,-0.0595
D1,CD3E,5,108,0.0,0.16375,-0.16375
D1,CD3E,6,108,0.71296,0.004,0.70896
D1,CD3E,7,108,0.0,0.02025,-0.02025
D1,CD3E,8,108,0.0,0.005,-0.005
D1,CD3E,9,108,0.0,0.02425,-0.02425
D1,CD3E,10,108,0.03704,0.17708,-0.14005
D1,CD3E,11,108,0.0,0.08417,-0.08417
D1,CD3E,12,108,0.21296,0.00092,0.21205
D1,CD3E,13,108,0.0,0.01058,-0.01058
D1,CD3E,14,108,0.0,0.00025,-0.00025
D1,ZAP70,0,82,0.0,0.175,-0.175
D1,ZAP70,1,82,0.0,0.10075,-0.10075
D1,ZAP70,2,82,0.0,0.10958,-0.10958
D1,ZAP70,3,82,0.0,0.06492,-0.06492
D1,ZAP70,4,82,0.0122,0.0595,-0.0473
D1,ZAP70,5,82,0.0,0.16375,-0.16375
D1,ZAP70,6,82,0.7439,0.004,0.7399
D1,ZAP70,7,82,0.0122,0.02025,-0.00805
D1,ZAP70,8,82,0.0,0.005,-0.005
