gene,axis,cond,n_kd,kd_median_pt,ntc_median_pt,delta_pt,mwu_p,padj
LAT,TCR-proximal,Rest,471,0.1221,0.1336,-0.0114,0.06942609697580338,0.08280711621046066
PLCG1,TCR-proximal,Rest,437,0.1135,0.1336,-0.0201,0.0008112313807941973,0.0012497348298721419
CD247,TCR-proximal,Rest,318,0.1215,0.1336,-0.0121,0.04475616663694382,0.06074051186442375
CD3E,TCR-proximal,Rest,215,0.1246,0.1336,-0.009,0.49816566705703735,0.546066211966368
ZAP70,TCR-proximal,Rest,141,0.0906,0.1336,-0.043,1.8518521471833083e-07,3.909465644053651e-07
VAV1,TCR-proximal,Rest,414,0.1253,0.1336,-0.0083,0.6976008415222168,0.7229681448502974
SMARCE1,SMARCE1,Rest,149,0.1193,0.1336,-0.0143,0.04734194278717041,0.06132933497428894
SGF29,chromatin/TF,Rest,1087,0.2291,0.1336,0.0956,1.741556818951157e-27,6.617915912014397e-27
MED24,chromatin/TF,Rest,755,0.1155,0.1336,-0.0181,0.0004380206810310483,0.0007133479662505644
MED12,chromatin/TF,Rest,229,0.149,0.1336,0.0154,0.0006574057624675333,0.0010408924572402611
TADA2B,chromatin/TF,Rest,1534,0.1981,0.1336,0.0646,7.174508007496631e-40,3.4078913035609e-39
NSD1,chromatin/TF,Rest,862,0.2739,0.1336,0.1404,1.1752176414371682e-14,3.0448820709963e-14
CHD4,chromatin/TF,Rest,292,0.175,0.1336,0.0415,0.04677242413163185,0.06132933497428894
SMARCB1,chromatin/TF,Rest,278,0.3871,0.1336,0.2535,1.9803383650811301e-13,4.907795078679322e-13
STAT6,chromatin/TF,Rest,644,0.1488,0.1336,0.0153,0.9875237941741943,0.9875237941741943
TRIP12,chromatin/TF,Rest,1816,0.1195,0.1336,-0.0141,0.00014153422671370208,0.00025210784133378183
ARNT,chromatin/TF,Rest,1001,0.2714,0.1336,0.1378,4.143711316875394e-17,1.1247216431518927e-16
SEL1L,chromatin/TF,Rest,115,0.1062,0.1336,-0.0274,1.1421711860748474e-05,2.17012525354221e-05
SIK3,chromatin/TF,Rest,344,0.1399,0.1336,0.0063,0.765521228313446,0.7791912502476148
LAT,TCR-proximal,Stim8hr,469,0.4434,0.7228,-0.2794,0.0,0.0
PLCG1,TCR-proximal,Stim8hr,421,0.4451,0.7228,-0.2777,0.0,0.0
