gene,axis,n_kd,spearman_baseAct_R,p,R_lowAct,R_highAct,delta_hi_lo
LAT,TCR-proximal,469,-0.531,1.7335663776167676e-35,1.447,0.668,-0.78
PLCG1,TCR-proximal,421,-0.677,8.283868809546432e-58,1.508,0.347,-1.161
CD247,TCR-proximal,412,-0.676,2.515957481410216e-56,1.477,0.228,-1.249
CD3E,TCR-proximal,234,-0.403,1.478317465801632e-10,1.654,1.21,-0.445
ZAP70,TCR-proximal,144,-0.295,0.0003276380956124066,1.657,1.364,-0.293
VAV1,TCR-proximal,504,-0.659,5.693030504646477e-64,1.32,0.542,-0.778
SMARCE1,chromatin (SMARCE1),142,-0.43,8.92664991291876e-08,0.971,0.668,-0.303
SGF29,chromatin/TF,1062,0.024,0.4412090768007845,0.383,0.391,0.008
MED24,chromatin/TF,700,0.14,0.00020956252569769062,0.451,0.526,0.074
MED12,chromatin/TF,219,-0.013,0.8511049498829554,0.844,0.839,-0.005
TADA2B,chromatin/TF,1489,0.085,0.0010196679602972676,0.484,0.534,0.05
NSD1,chromatin/TF,765,-0.148,3.98177073751796e-05,0.416,0.366,-0.049
CHD4,chromatin/TF,246,0.338,5.4936003286021156e-08,0.307,0.587,0.28
SMARCB1,chromatin/TF,258,-0.52,2.977041278516611e-19,0.746,0.381,-0.365
STAT6,chromatin/TF,612,-0.096,0.01803215547554929,0.273,0.241,-0.033
TRIP12,chromatin/TF,1477,0.083,0.0015049482885608574,0.214,0.237,0.023
ARNT,chromatin/TF,844,-0.188,3.605763755323969e-08,0.468,0.389,-0.079
SEL1L,chromatin/TF,114,-0.328,0.0003697140049847414,0.914,0.605,-0.309
SIK3,chromatin/TF,330,0.164,0.002788826605675079,0.337,0.426,0.09
