gene,axis,n_kd,n_sig_used,n_excl_circular,ntc_mean_cp10k,frac_expr_ntc,spearman_dose_R,p,dose_reliable,well_powered,power_note
LAT,TCR-proximal,471,144,1,4.416,0.925,-0.136,0.003060855993741677,True,True,ok
PLCG1,TCR-proximal,437,141,1,4.695,0.933,-0.101,0.035563523515778905,True,True,ok
CD247,TCR-proximal,318,143,1,4.099,0.918,-0.057,0.31092180617052784,True,True,ok
CD3E,TCR-proximal,215,139,1,7.369,0.981,-0.086,0.21059585524922003,True,True,ok
ZAP70,TCR-proximal,141,146,1,4.928,0.943,-0.032,0.7054456516261115,True,False,underpowered(<150)
VAV1,TCR-proximal,414,142,3,1.41,0.651,0.001,0.9859086685305397,True,True,ok
SMARCE1,chromatin (SMARCE1),149,138,1,1.45,0.678,-0.469,1.5783297213187425e-09,True,False,underpowered(<150)
SGF29,chromatin/TF,1087,144,1,0.357,0.254,-0.117,0.0001168172168001659,False,True,ok
MED24,chromatin/TF,755,147,2,1.049,0.558,-0.183,4.0639578572347566e-07,True,True,ok
MED12,chromatin/TF,229,143,2,0.867,0.487,-0.189,0.004036217930092033,True,True,ok
TADA2B,chromatin/TF,1534,144,1,1.099,0.564,-0.263,1.2052910744060947e-25,True,True,ok
NSD1,chromatin/TF,862,145,1,2.137,0.778,-0.215,1.679696648488695e-10,True,True,ok
CHD4,chromatin/TF,292,108,3,1.622,0.681,-0.28,1.1509940480859072e-06,True,True,ok
SMARCB1,chromatin/TF,278,125,1,1.848,0.722,-0.471,9.907548386470213e-17,True,True,ok
STAT6,chromatin/TF,644,128,1,0.888,0.476,0.048,0.2203425713427459,True,True,ok
TRIP12,chromatin/TF,1816,144,1,2.659,0.834,-0.176,4.230049186230601e-14,True,True,ok
ARNT,chromatin/TF,1001,144,1,0.669,0.414,-0.291,4.877432274154041e-21,True,True,ok
SEL1L,chromatin/TF,115,138,0,1.014,0.543,-0.137,0.14496753820935063,True,False,underpowered(<150)
SIK3,chromatin/TF,344,133,5,0.578,0.373,-0.062,0.2533276403947084,True,True,ok
