gene,axis,n_kd,n_sig_used,n_excl_circular,ntc_mean_cp10k,frac_expr_ntc,spearman_dose_R,p,dose_reliable,well_powered,power_note
LAT,TCR-proximal,295,144,2,2.718,0.874,-0.294,2.8187026725357147e-07,True,True,ok
PLCG1,TCR-proximal,267,144,2,2.267,0.813,-0.145,0.017674029960672844,True,True,ok
CD247,TCR-proximal,266,143,2,2.495,0.852,-0.243,6.321368775163553e-05,True,True,ok
CD3E,TCR-proximal,91,146,2,5.245,0.963,-0.404,7.163061773536871e-05,True,False,underpowered(<150)
ZAP70,TCR-proximal,52,146,1,2.699,0.868,-0.333,0.015870742582900554,True,False,underpowered(<150)
VAV1,TCR-proximal,321,144,2,1.072,0.644,-0.184,0.0009120689087639225,True,True,ok
SMARCE1,chromatin (SMARCE1),106,135,3,1.374,0.735,-0.297,0.0020008922683742362,True,False,underpowered(<150)
SGF29,chromatin/TF,993,146,1,0.196,0.197,-0.093,0.0032998437470867226,False,True,ok
MED24,chromatin/TF,669,147,2,1.036,0.637,-0.15,9.554371502129738e-05,True,True,ok
MED12,chromatin/TF,191,141,1,0.735,0.521,-0.271,0.0001471608962818653,True,True,ok
TADA2B,chromatin/TF,1178,143,1,0.45,0.375,-0.225,5.377460150517414e-15,True,True,ok
NSD1,chromatin/TF,683,141,2,1.685,0.773,-0.186,9.686114726467137e-07,True,True,ok
CHD4,chromatin/TF,233,119,1,1.833,0.797,-0.187,0.004119518618240566,True,True,ok
SMARCB1,chromatin/TF,178,140,2,1.854,0.785,-0.186,0.013109449172218368,True,True,ok
STAT6,chromatin/TF,779,148,1,0.429,0.369,-0.214,1.738812030919794e-09,True,True,ok
TRIP12,chromatin/TF,1555,137,1,3.068,0.903,-0.255,1.8176436837173026e-24,True,True,ok
ARNT,chromatin/TF,795,149,1,0.823,0.562,-0.297,1.051229149373007e-17,True,True,ok
SEL1L,chromatin/TF,92,145,1,0.948,0.599,-0.132,0.20970099921744684,True,False,underpowered(<150)
SIK3,chromatin/TF,324,148,1,0.265,0.255,-0.069,0.21351057572497692,False,True,ok
