gene,axis,n_kd,R_kd_median,R_ntc_p95,responder_frac,R_kd_IQR,bimodality_coef,mwu_p_greater
LAT,TCR-proximal,471,0.22,0.215,0.512,0.138,0.28,5.99254095429756e-191
PLCG1,TCR-proximal,437,0.182,0.243,0.352,0.204,0.258,1.2101844875318941e-107
CD247,TCR-proximal,318,0.193,0.243,0.384,0.188,0.342,1.0145924370687533e-91
CD3E,TCR-proximal,215,0.216,0.202,0.558,0.139,0.26,1.6271924547468296e-89
ZAP70,TCR-proximal,141,0.439,0.302,0.695,0.294,0.433,3.838225578755401e-71
VAV1,TCR-proximal,414,0.108,0.522,0.179,0.361,0.629,8.565587385054652e-68
SMARCE1,chromatin (SMARCE1),149,1.017,0.279,0.933,0.347,0.608,1.6536177679210328e-90
SGF29,chromatin/TF,1087,0.386,0.271,0.725,0.252,0.337,0.0
MED24,chromatin/TF,755,0.308,0.207,0.766,0.197,0.347,0.0
MED12,chromatin/TF,229,0.786,0.258,0.943,0.347,0.427,4.249072512988752e-143
TADA2B,chromatin/TF,1534,0.495,0.251,0.891,0.24,0.34,0.0
NSD1,chromatin/TF,862,0.339,0.179,0.882,0.167,0.382,0.0
CHD4,chromatin/TF,292,0.34,0.243,0.579,0.63,0.545,5.622225564754089e-103
SMARCB1,chromatin/TF,278,0.607,0.268,0.878,0.563,0.533,8.896504297617603e-163
STAT6,chromatin/TF,644,0.155,0.184,0.413,0.167,0.319,8.073013589443092e-168
TRIP12,chromatin/TF,1816,0.198,0.242,0.372,0.213,0.331,0.0
ARNT,chromatin/TF,1001,0.447,0.276,0.809,0.245,0.422,0.0
SEL1L,chromatin/TF,115,1.038,0.357,0.843,0.683,0.45,1.5543024227959782e-62
SIK3,chromatin/TF,344,0.393,0.246,0.794,0.284,0.354,1.515865876894239e-188
