gene,axis,n_kd,R_kd_median,R_ntc_p95,responder_frac,R_kd_IQR,bimodality_coef,mwu_p_greater
LAT,TCR-proximal,295,0.813,0.502,0.678,0.692,0.507,6.841716158401075e-126
PLCG1,TCR-proximal,267,0.648,0.534,0.566,0.863,0.476,1.4240133803437465e-83
CD247,TCR-proximal,266,0.341,0.47,0.429,0.739,0.546,2.5807808179806503e-60
CD3E,TCR-proximal,91,1.091,0.543,0.769,0.784,0.451,9.312872448068866e-41
ZAP70,TCR-proximal,52,1.272,0.481,0.885,0.611,0.479,5.630930397260125e-31
VAV1,TCR-proximal,321,0.773,0.531,0.738,0.498,0.36,1.023930125004173e-163
SMARCE1,chromatin (SMARCE1),106,0.781,0.23,0.943,0.475,0.421,1.5800580993088782e-67
SGF29,chromatin/TF,993,0.479,0.291,0.795,0.317,0.363,0.0
MED24,chromatin/TF,669,0.386,0.197,0.888,0.178,0.341,0.0
MED12,chromatin/TF,191,0.682,0.254,0.812,0.542,0.386,2.1345987424688124e-95
TADA2B,chromatin/TF,1178,0.623,0.242,0.893,0.322,0.417,0.0
NSD1,chromatin/TF,683,0.413,0.213,0.921,0.184,0.335,0.0
CHD4,chromatin/TF,233,0.252,0.212,0.601,0.276,0.572,7.092914287263874e-99
SMARCB1,chromatin/TF,178,0.445,0.334,0.629,0.384,0.395,1.1905502532856195e-74
STAT6,chromatin/TF,779,0.344,0.314,0.569,0.237,0.341,0.0
TRIP12,chromatin/TF,1555,0.164,0.216,0.357,0.18,0.325,0.0
ARNT,chromatin/TF,795,0.581,0.399,0.852,0.161,0.513,0.0
SEL1L,chromatin/TF,92,0.477,0.293,0.685,0.378,0.495,4.9816800085839874e-36
SIK3,chromatin/TF,324,0.47,0.533,0.41,0.374,0.422,1.2479679543500066e-106
